Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8285     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.00     0.00     8258     0.00     0.00  async::detail::ref_count_base<async::detail::task_base, async::detail::task_base_deleter>::is_unique_ref(std::memory_order)
  0.00      0.00     0.00     8250     0.00     0.00  __gthread_yield()
  0.00      0.00     0.00     8250     0.00     0.00  std::this_thread::yield()
  0.00      0.00     0.00      101     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::~ref_count_ptr()
  0.00      0.00     0.00       84     0.00     0.00  async::detail::compressed_ptr<3ul, true>* std::__addressof<async::detail::compressed_ptr<3ul, true> >(async::detail::compressed_ptr<3ul, true>&)
  0.00      0.00     0.00       78     0.00     0.00  async::detail::task_state const* std::__addressof<async::detail::task_state const>(async::detail::task_state const&)
  0.00      0.00     0.00       64     0.00     0.00  async::detail::compressed_ptr<3ul, true>::get_flags() const
  0.00      0.00     0.00       62     0.00     0.00  std::atomic<async::detail::task_state>::load(std::memory_order) const
  0.00      0.00     0.00       58     0.00     0.00  std::remove_reference<async::detail::ref_count_ptr<async::detail::task_base>&>::type&& std::move<async::detail::ref_count_ptr<async::detail::task_base>&>(async::detail::ref_count_ptr<async::detail::task_base>&)
  0.00      0.00     0.00       53     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::ref_count_ptr(async::detail::ref_count_ptr<async::detail::task_base>&&)
  0.00      0.00     0.00       39     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::get() const
  0.00      0.00     0.00       33     0.00     0.00  async::detail::task_state* std::__addressof<async::detail::task_state>(async::detail::task_state&)
  0.00      0.00     0.00       32     0.00     0.00  std::atomic<async::detail::compressed_ptr<3ul, true> >::load(std::memory_order) const
  0.00      0.00     0.00       32     0.00     0.00  async::detail::compressed_ptr<3ul, true> const* std::__addressof<async::detail::compressed_ptr<3ul, true> const>(async::detail::compressed_ptr<3ul, true> const&)
  0.00      0.00     0.00       31     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00       30     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::ref_count_ptr(async::detail::task_base*)
  0.00      0.00     0.00       27     0.00     0.00  async::detail::task_base* async::detail::compressed_ptr<3ul, true>::get_ptr<async::detail::task_base>() const
  0.00      0.00     0.00       27     0.00     0.00  main::{lambda(int)#7}&& std::forward<void async::detail::internal_parallel_for<async::threadpool_scheduler, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7}>(async::threadpool_scheduler&, async::detail::auto_partitioner_impl<async::int_range<int>::iterator>, main::{lambda(int)#7} const&)::{lambda()#1}>(std::remove_reference<main::{lambda(int)#7}>::type&)
  0.00      0.00     0.00       24     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       23     0.00     0.00  async::detail::ref_count_ptr<async::detail::task_base>::operator bool() const
  0.00      0.00     0.00       21     0.00     0.00  async::detail::is_finished(async::detail::task_state)
  0.00      0.00     0.00       21     0.00     0.00  _ZSt7forwardIZN5async6detail28internal_parallel_map_reduceINS0_20threadpool_schedulerENS1_21auto_partitioner_implIPKiEEiNS1_11default_mapEZ4mainEUliiE6_EET1_RT_T0_SA_RKT2_RKT3_EUlvE_EOSB_RNSt16remove_referenceISB_E4typeE
